val1,val2,val3,val4,best_move,dist_to_id
10.0,63.0,-117.0,-737.0,2.0,8.0
109.0,33.0,-1275.0,-386.0,3.0,8.0
10.0,3.0,-117.0,-35.0,0.0,8.0
-89.0,33.0,1041.0,-386.0,1.0,8.0
-17.0,-45.0,201.0,532.0,2.0,8.0
1.0,6.0,-12.0,-71.0,3.0,8.0
-17.0,57.0,201.0,-674.0,0.0,8.0
-35.0,6.0,414.0,-71.0,1.0,8.0
1.0,6.0,-12.0,-71.0,2.0,8.0
10.0,3.0,-117.0,-35.0,3.0,8.0
1.0,0.0,-12.0,1.0,0.0,8.0
-8.0,3.0,93.0,-35.0,1.0,8.0
19.0,63.0,-225.0,-746.0,2.0,8.0
37.0,6.0,-438.0,-71.0,3.0,8.0
19.0,-51.0,-225.0,604.0,0.0,8.0
1.0,6.0,-12.0,-71.0,1.0,8.0
1.0,12.0,-12.0,-143.0,2.0,8.0
28.0,9.0,-333.0,-107.0,3.0,8.0
1.0,6.0,-12.0,-71.0,0.0,8.0
-26.0,9.0,309.0,-107.0,1.0,8.0
28.0,81.0,-261.0,-755.0,2.0,8.0
19.0,-3.0,-177.0,28.0,3.0,8.0
28.0,-87.0,-261.0,811.0,0.0,8.0
37.0,-3.0,-345.0,28.0,1.0,8.0
19.0,-3.0,-177.0,28.0,2.0,8.0
-161.0,-60.0,1500.0,559.0,3.0,8.0
19.0,-117.0,-177.0,1090.0,0.0,8.0
199.0,-60.0,-1854.0,559.0,1.0,8.0
10.0,27.0,-93.0,-251.0,2.0,8.0
1.0,-3.0,-9.0,28.0,3.0,8.0
10.0,-33.0,-93.0,307.0,0.0,8.0
19.0,-3.0,-177.0,28.0,1.0,8.0
19.0,111.0,-177.0,-1034.0,2.0,8.0
181.0,54.0,-1686.0,-503.0,3.0,8.0
19.0,-3.0,-177.0,28.0,0.0,8.0
-143.0,54.0,1332.0,-503.0,1.0,8.0
109.0,294.0,-1014.0,-2735.0,2.0,8.0
10.0,-33.0,-93.0,307.0,3.0,8.0
109.0,-360.0,-1014.0,3349.0,0.0,8.0
208.0,-33.0,-1935.0,307.0,1.0,8.0
10.0,-33.0,-93.0,307.0,2.0,8.0
-179.0,-63.0,1665.0,586.0,3.0,8.0
10.0,-93.0,-93.0,865.0,0.0,8.0
199.0,-63.0,-1851.0,586.0,1.0,8.0
-89.0,-300.0,828.0,2791.0,2.0,8.0
-188.0,-33.0,1749.0,307.0,3.0,8.0
-89.0,234.0,828.0,-2177.0,0.0,8.0
10.0,-33.0,-93.0,307.0,1.0,8.0
10.0,27.0,-93.0,-251.0,2.0,8.0
1.0,-3.0,-9.0,28.0,3.0,8.0
10.0,-33.0,-93.0,307.0,0.0,8.0
19.0,-3.0,-177.0,28.0,1.0,8.0
10.0,27.0,-93.0,-251.0,2.0,8.0
1.0,-3.0,-9.0,28.0,3.0,8.0
10.0,-33.0,-93.0,307.0,0.0,8.0
19.0,-3.0,-177.0,28.0,1.0,8.0
1.0,-3.0,-9.0,28.0,2.0,8.0
-17.0,-6.0,156.0,55.0,3.0,8.0
1.0,-9.0,-9.0,82.0,0.0,8.0
19.0,-6.0,-174.0,55.0,1.0,8.0
-8.0,-27.0,75.0,253.0,2.0,8.0
-17.0,-3.0,159.0,28.0,3.0,8.0
-8.0,21.0,75.0,-197.0,0.0,8.0
1.0,-3.0,-9.0,28.0,1.0,8.0
1.0,3.0,-9.0,-26.0,2.0,8.0
1.0,0.0,-6.0,1.0,3.0,8.0
1.0,-3.0,-9.0,28.0,0.0,8.0
1.0,0.0,-12.0,1.0,1.0,8.0
-71.0,-186.0,660.0,1729.0,2.0,8.0
10.0,27.0,-93.0,-251.0,3.0,8.0
-71.0,240.0,660.0,-2231.0,0.0,8.0
-152.0,27.0,1413.0,-251.0,1.0,8.0
10.0,27.0,-93.0,-251.0,2.0,8.0
1.0,-3.0,-9.0,28.0,3.0,8.0
10.0,-33.0,-93.0,307.0,0.0,8.0
19.0,-3.0,-177.0,28.0,1.0,8.0
91.0,300.0,-846.0,-2789.0,2.0,8.0
172.0,27.0,-1599.0,-251.0,3.0,8.0
91.0,-246.0,-846.0,2287.0,0.0,8.0
10.0,27.0,-93.0,-251.0,1.0,8.0
10.0,87.0,-93.0,-809.0,2.0,8.0
181.0,57.0,-1683.0,-530.0,3.0,8.0
10.0,27.0,-93.0,-251.0,0.0,8.0
-161.0,57.0,1497.0,-530.0,1.0,8.0
37.0,105.0,-339.0,-962.0,2.0,8.0
19.0,-6.0,-174.0,55.0,3.0,8.0
37.0,-117.0,-339.0,1072.0,0.0,8.0
55.0,-6.0,-504.0,55.0,1.0,8.0
19.0,-6.0,-174.0,55.0,2.0,8.0
-170.0,-63.0,1557.0,577.0,3.0,8.0
19.0,-120.0,-174.0,1099.0,0.0,8.0
208.0,-63.0,-1905.0,577.0,1.0,8.0
1.0,-3.0,-9.0,28.0,2.0,8.0
-17.0,-6.0,156.0,55.0,3.0,8.0
