val1,val2,val3,val4,best_move,dist_to_id
208.0,-63.0,-33.0,10.0,1.0,5.0
1.0,-3.0,0.0,1.0,2.0,5.0
-17.0,-6.0,3.0,1.0,3.0,5.0
1.0,-9.0,0.0,1.0,0.0,5.0
19.0,-6.0,-3.0,1.0,1.0,5.0
19.0,108.0,-3.0,-17.0,2.0,5.0
172.0,51.0,-27.0,-8.0,3.0,5.0
19.0,-6.0,-3.0,1.0,0.0,5.0
-134.0,51.0,21.0,-8.0,1.0,5.0
28.0,75.0,-3.0,-8.0,2.0,5.0
1.0,-9.0,0.0,1.0,3.0,5.0
28.0,-93.0,-3.0,10.0,0.0,5.0
55.0,-9.0,-6.0,1.0,1.0,5.0
1.0,-9.0,0.0,1.0,2.0,5.0
-35.0,-12.0,3.0,1.0,3.0,5.0
1.0,-15.0,0.0,1.0,0.0,5.0
37.0,-12.0,-3.0,1.0,1.0,5.0
-26.0,-87.0,3.0,10.0,2.0,5.0
-53.0,-9.0,6.0,1.0,3.0,5.0
-26.0,69.0,3.0,-8.0,0.0,5.0
1.0,-9.0,0.0,1.0,1.0,5.0
1.0,-3.0,0.0,1.0,2.0,5.0
-17.0,-6.0,3.0,1.0,3.0,5.0
1.0,-9.0,0.0,1.0,0.0,5.0
19.0,-6.0,-3.0,1.0,1.0,5.0
1.0,-3.0,0.0,1.0,2.0,5.0
-17.0,-6.0,3.0,1.0,3.0,5.0
1.0,-9.0,0.0,1.0,0.0,5.0
19.0,-6.0,-3.0,1.0,1.0,5.0
-17.0,-6.0,3.0,1.0,2.0,5.0
118.0,45.0,-21.0,-8.0,3.0,5.0
-17.0,96.0,3.0,-17.0,0.0,5.0
-152.0,45.0,27.0,-8.0,1.0,5.0
-35.0,-111.0,6.0,19.0,2.0,5.0
-53.0,-6.0,9.0,1.0,3.0,5.0
-35.0,99.0,6.0,-17.0,0.0,5.0
-17.0,-6.0,3.0,1.0,1.0,5.0
-17.0,-108.0,3.0,19.0,2.0,5.0
-188.0,-57.0,33.0,10.0,3.0,5.0
-17.0,-6.0,3.0,1.0,0.0,5.0
154.0,-57.0,-27.0,10.0,1.0,5.0
10.0,27.0,-3.0,-8.0,2.0,5.0
1.0,-3.0,0.0,1.0,3.0,5.0
10.0,-33.0,-3.0,10.0,0.0,5.0
19.0,-3.0,-6.0,1.0,1.0,5.0
1.0,-3.0,0.0,1.0,2.0,5.0
-17.0,-6.0,3.0,1.0,3.0,5.0
1.0,-9.0,0.0,1.0,0.0,5.0
19.0,-6.0,-3.0,1.0,1.0,5.0
-8.0,-27.0,3.0,10.0,2.0,5.0
-17.0,-3.0,6.0,1.0,3.0,5.0
-8.0,21.0,3.0,-8.0,0.0,5.0
1.0,-3.0,0.0,1.0,1.0,5.0
1.0,3.0,0.0,1.0,2.0,5.0
1.0,0.0,3.0,1.0,3.0,5.0
1.0,-3.0,0.0,1.0,0.0,5.0
