val1,val2,val3,val4,best_move,dist_to_id
19.0,-3.0,-120.0,19.0,1.0,7.0
91.0,300.0,-573.0,-1889.0,2.0,7.0
172.0,27.0,-1083.0,-170.0,3.0,7.0
91.0,-246.0,-573.0,1549.0,0.0,7.0
10.0,27.0,-63.0,-170.0,1.0,7.0
10.0,87.0,-63.0,-548.0,2.0,7.0
181.0,57.0,-1140.0,-359.0,3.0,7.0
10.0,27.0,-63.0,-170.0,0.0,7.0
-161.0,57.0,1014.0,-359.0,1.0,7.0
37.0,105.0,-228.0,-647.0,2.0,7.0
19.0,-6.0,-117.0,37.0,3.0,7.0
37.0,-117.0,-228.0,721.0,0.0,7.0
55.0,-6.0,-339.0,37.0,1.0,7.0
19.0,-6.0,-117.0,37.0,2.0,7.0
-170.0,-63.0,1047.0,388.0,3.0,7.0
19.0,-120.0,-117.0,739.0,0.0,7.0
208.0,-63.0,-1281.0,388.0,1.0,7.0
1.0,-3.0,-6.0,19.0,2.0,7.0
-17.0,-6.0,105.0,37.0,3.0,7.0
1.0,-9.0,-6.0,55.0,0.0,7.0
19.0,-6.0,-117.0,37.0,1.0,7.0
19.0,108.0,-117.0,-665.0,2.0,7.0
172.0,51.0,-1059.0,-314.0,3.0,7.0
19.0,-6.0,-117.0,37.0,0.0,7.0
-134.0,51.0,825.0,-314.0,1.0,7.0
28.0,75.0,-171.0,-458.0,2.0,7.0
1.0,-9.0,-6.0,55.0,3.0,7.0
28.0,-93.0,-171.0,568.0,0.0,7.0
55.0,-9.0,-336.0,55.0,1.0,7.0
1.0,-9.0,-6.0,55.0,2.0,7.0
-35.0,-12.0,213.0,73.0,3.0,7.0
1.0,-15.0,-6.0,91.0,0.0,7.0
37.0,-12.0,-225.0,73.0,1.0,7.0
-26.0,-87.0,159.0,532.0,2.0,7.0
-53.0,-9.0,324.0,55.0,3.0,7.0
-26.0,69.0,159.0,-422.0,0.0,7.0
1.0,-9.0,-6.0,55.0,1.0,7.0
1.0,-3.0,-6.0,19.0,2.0,7.0
-17.0,-6.0,105.0,37.0,3.0,7.0
1.0,-9.0,-6.0,55.0,0.0,7.0
19.0,-6.0,-117.0,37.0,1.0,7.0
1.0,-3.0,-6.0,19.0,2.0,7.0
-17.0,-6.0,105.0,37.0,3.0,7.0
1.0,-9.0,-6.0,55.0,0.0,7.0
19.0,-6.0,-117.0,37.0,1.0,7.0
-17.0,-6.0,105.0,37.0,2.0,7.0
118.0,45.0,-729.0,-278.0,3.0,7.0
-17.0,96.0,105.0,-593.0,0.0,7.0
-152.0,45.0,939.0,-278.0,1.0,7.0
-35.0,-111.0,216.0,685.0,2.0,7.0
-53.0,-6.0,327.0,37.0,3.0,7.0
-35.0,99.0,216.0,-611.0,0.0,7.0
-17.0,-6.0,105.0,37.0,1.0,7.0
-17.0,-108.0,105.0,667.0,2.0,7.0
-188.0,-57.0,1161.0,352.0,3.0,7.0
-17.0,-6.0,105.0,37.0,0.0,7.0
154.0,-57.0,-951.0,352.0,1.0,7.0
10.0,27.0,-63.0,-170.0,2.0,7.0
1.0,-3.0,-6.0,19.0,3.0,7.0
10.0,-33.0,-63.0,208.0,0.0,7.0
19.0,-3.0,-120.0,19.0,1.0,7.0
1.0,-3.0,-6.0,19.0,2.0,7.0
-17.0,-6.0,105.0,37.0,3.0,7.0
1.0,-9.0,-6.0,55.0,0.0,7.0
19.0,-6.0,-117.0,37.0,1.0,7.0
-8.0,-27.0,51.0,172.0,2.0,7.0
-17.0,-3.0,108.0,19.0,3.0,7.0
-8.0,21.0,51.0,-134.0,0.0,7.0
1.0,-3.0,-6.0,19.0,1.0,7.0
1.0,3.0,-6.0,-17.0,2.0,7.0
1.0,0.0,-3.0,1.0,3.0,7.0
1.0,-3.0,-6.0,19.0,0.0,7.0
1.0,0.0,-9.0,1.0,1.0,7.0
10.0,27.0,-63.0,-170.0,2.0,7.0
1.0,-3.0,-6.0,19.0,3.0,7.0
