val1,val2,val3,last_matrix,first_move_by_Q_learning,Q_table_val
1,38,11,3,0,0.0
2,26,-10,4,0,0.0
14,16,4,1,1,8267.534438708004
0,-12,0,3,0,9721.812726531036
-5,33,-5,4,1,9721.325530997341
-5,31,-7,1,2,8785.183746872744
5,26,3,3,3,9721.804927678846
-10,23,-4,2,0,9685.107109444016
-5,6,-5,3,0,9800.897604194965
7,-8,-3,1,1,9800.897604194965
-1,22,-5,1,1,9721.81273998002
4,-8,0,3,2,9840.55888139888
-6,5,4,4,2,9761.31560988418
-7,12,-3,2,0,9800.897604194965
12,-25,2,4,0,0.0
3,3,3,1,1,9880.299600299879
4,9,6,3,1,9800.897604194965
0,-5,4,3,1,9840.55888139888
-8,-4,2,2,0,9800.897604194965
-1,35,-9,2,1,0.0
-5,0,1,2,0,9880.299600299879
2,-8,-4,2,2,9880.299600299879
2,4,-12,4,1,0.0
-8,53,-14,2,0,6489.186197215764
0,4,-4,4,1,9880.299600299879
-9,60,-11,2,1,0.0
-2,7,-8,3,0,9800.897604187849
11,10,3,1,3,0.0
11,30,5,3,1,6924.627173050279
0,23,10,3,3,9642.461277379469
-1,-4,3,4,1,9880.299600299879
0,-2,8,1,1,9800.897603150443
7,23,5,3,1,9761.31560469747
5,-5,1,1,2,9840.55888139888
-5,-5,-1,2,3,9840.55888139888
2,12,10,3,3,9553.018726238339
-8,-2,4,2,0,9761.31560988418
0,0,-2,1,2,9960.02
10,-61,-10,4,1,-9.0
-3,8,3,4,2,9761.209085541592
-4,-10,0,3,1,9800.890274917203
12,22,6,3,2,0.0
7,-27,1,4,2,4378.2708578678485
12,-21,0,1,1,8911.528353238311
2,-12,-4,3,0,9840.55888139888
-3,-6,7,3,0,9800.897603214875
-4,10,-2,4,1,9840.55888139888
10,15,2,3,3,9570.265183020105
-3,9,-1,4,2,9840.55888139888
-8,16,-4,2,0,9761.31560988418
10,-72,-10,1,2,0.0
-2,-7,2,3,1,9840.55888139888
1,19,-5,2,1,9721.62006162121
-9,11,-1,2,2,9761.308585346338
6,-25,-4,2,0,9761.315609883257
5,8,-3,3,1,9761.315609725272
-2,-11,0,3,1,9761.31560988418
7,-32,-5,4,2,9761.315568935195
-3,-23,7,2,1,9761.31560988418
9,31,5,3,1,3330.23840152585
1,-13,5,1,2,9663.620338455152
6,47,4,2,3,0.0
2,18,6,1,0,9800.897603643683
-2,9,-2,1,1,9840.55888139888
-6,14,4,4,0,-9.0
5,-20,-5,1,1,9800.897604194965
1,4,7,3,3,9840.55888139888
4,23,4,2,0,9761.31560988418
1,-6,-1,2,0,9840.55888139888
-1,-4,-3,2,0,9840.55888139888
6,6,0,3,3,9840.55888139888
-5,32,-9,4,2,9721.802994248399
-1,6,-1,2,1,9840.55888139888
