val1,val2,val3,last_matrix,num_moves_Q_learning_needs,min_a_b_sqrt_c
-3,8,3,4,11,2.8284271247461903
-4,-10,0,3,9,0.0
12,22,6,3,19,4.69041575982343
7,-27,1,4,21,1.0
12,-21,0,1,17,0.0
2,-12,-4,3,7,2.0
-3,-6,7,3,9,2.449489742783178
-4,10,-2,4,7,2.0
10,15,2,3,11,2.0
-3,9,-1,4,7,1.0
-8,16,-4,2,11,4.0
-2,-7,2,3,7,2.0
1,19,-5,2,13,1.0
-9,11,-1,2,11,1.0
6,-25,-4,2,11,4.0
5,8,-3,3,11,2.8284271247461903
-2,-11,0,3,11,0.0
7,-32,-5,4,11,5.0
-3,-23,7,2,11,3.0
9,31,5,3,13,5.0
1,-13,5,1,11,1.0
6,47,4,2,19,4.0
2,18,6,1,9,2.0
-2,9,-2,1,7,2.0
-6,14,4,4,15,3.7416573867739413
5,-20,-5,1,9,4.47213595499958
1,4,7,3,7,1.0
4,23,4,2,11,4.0
1,-6,-1,2,7,1.0
-1,-4,-3,2,7,1.0
6,6,0,3,7,0.0
-5,32,-9,4,13,5.0
-1,6,-1,2,7,1.0
5,9,1,1,7,1.0
2,17,-10,1,17,2.0
-1,0,-3,2,3,0.0
7,5,3,1,9,2.23606797749979
-14,5,-2,4,19,2.0
-1,17,-3,4,13,1.0
-11,-27,7,4,19,5.196152422706632
-2,20,6,4,21,2.0
-5,46,-9,4,17,5.0
-6,-28,10,3,15,5.291502622129181
2,-11,4,4,11,2.0
-8,-8,2,2,9,2.0
-1,13,-1,4,13,1.0
1,18,7,2,11,1.0
2,6,2,3,5,2.0
0,-15,2,3,13,0.0
4,-16,-4,4,7,4.0
-2,0,-4,4,5,0.0
-5,-21,1,2,13,1.0
-5,-9,7,3,11,3.0
0,13,-8,4,11,0.0
1,-2,1,2,5,1.0
4,-1,0,2,5,0.0
10,56,8,4,17,7.483314773547883
-9,33,-5,4,13,5.0
-6,14,-2,3,9,2.0
-3,27,-7,4,13,3.0
8,3,0,2,9,0.0
-1,8,5,4,9,1.0
5,51,11,2,19,5.0
-11,42,-7,2,17,6.48074069840786
-11,15,-1,4,13,1.0
2,22,14,2,27,2.0
-5,14,-1,2,9,1.0
-2,9,-2,2,7,2.0
3,27,5,3,13,3.0
0,-10,-2,3,11,0.0
1,10,-1,3,11,1.0
-4,-17,10,3,13,4.0
-1,2,-5,3,5,1.0
12,-13,0,4,15,0.0
-11,68,-9,4,19,8.246211251235321
2,-3,-4,1,5,1.7320508075688772
7,38,13,2,19,6.164414002968976
7,18,-3,1,15,3.0
-6,-29,6,4,11,5.385164807134504
4,-21,-8,3,11,4.0
-1,4,5,3,7,1.0
-2,-4,0,1,5,0.0
2,-10,4,4,11,2.0
-5,6,-1,3,7,1.0
7,-1,-3,2,9,1.0
6,25,8,3,13,5.0
-2,-10,2,1,9,2.0
12,17,0,2,15,0.0
9,-11,-1,4,11,1.0
2,-8,8,1,11,2.0
0,-2,2,3,3,0.0
-4,21,0,4,17,0.0
1,-1,-1,2,1,1.0
2,10,0,1,11,0.0
-2,20,6,4,21,2.0
-8,-24,4,2,11,4.0
-5,11,-3,3,7,3.0
-5,-16,1,1,11,1.0
-9,9,-5,2,13,3.0
8,-39,-6,4,13,6.0
2,-17,-12,4,15,2.0
-2,1,8,2,11,1.0
14,-32,2,1,29,2.0
-4,8,-8,2,11,2.8284271247461903
4,-4,-2,4,5,2.0
-2,-9,-2,1,11,2.0
-15,62,-7,4,21,7.0
0,7,0,2,11,0.0
6,-17,-2,4,9,2.0
-6,-10,10,3,15,3.1622776601683795
-1,6,-11,1,13,1.0
-7,10,-1,1,9,1.0
-2,-6,0,3,7,0.0
-11,-45,3,2,17,3.0
-7,-39,11,2,17,6.244997998398398
7,8,-3,4,13,2.8284271247461903
3,0,-1,4,3,0.0
0,-4,6,1,7,0.0
3,-38,-11,2,19,3.0
4,-15,4,1,17,3.872983346207417
-10,-6,2,2,11,2.0
-1,-14,1,1,13,1.0
6,-23,0,2,13,0.0
-3,10,-5,3,7,3.0
4,-16,-12,3,21,4.0
5,-14,-9,3,13,3.7416573867739413
-4,30,-8,4,11,4.0
0,8,-2,1,9,0.0
-8,8,-2,2,9,2.0
-6,-10,0,3,9,0.0
3,-10,1,4,11,1.0
5,6,1,4,7,1.0
-6,18,-4,2,9,4.0
-11,12,1,2,15,1.0
-9,6,-1,2,9,1.0
-5,-21,5,2,9,4.58257569495584
-5,36,-11,1,15,5.0
0,-3,-8,4,9,0.0
-7,-19,1,2,11,1.0
6,6,2,4,7,2.0
-7,29,-5,1,11,5.0
6,3,4,1,9,1.7320508075688772
-4,-12,6,3,9,3.4641016151377544
7,1,1,1,7,1.0
-8,15,-4,4,11,3.872983346207417
2,-5,8,4,11,2.0
2,20,6,3,11,2.0
-2,-42,12,1,23,2.0
0,-4,-2,4,5,0.0
4,0,0,1,3,0.0
4,14,6,2,9,3.7416573867739413
1,-11,9,4,13,1.0
8,-36,-6,3,15,6.0
